Lotid,Exporter Clean,Initial Stock,Entry Date,Variety
24A8580783,Agrolatina,240,03/10/2025,TIMCO
24A8593348,Agrolatina,1600,02/11/2025,TIMCO
24A8651249,Agrolatina,1520,02/17/2025,SWEET FAVORS
24A8651249,Agrolatina,285,02/17/2025,SWEET FAVORS
24A8651249,Agrolatina,95,02/17/2025,SWEET FAVORS
24A8651510,Agrolatina,320,02/17/2025,CANDY DREAMS
24A8651510,Agrolatina,480,02/17/2025,CANDY DREAMS
24A8651510,Agrolatina,800,02/17/2025,IVORY
24A8681095,Agrolatina,1280,01/03/2025,CANDY SNAP
24A8681095,Agrolatina,320,01/03/2025,CANDY SNAP
24A8710666,Agrolatina,240,02/10/2025,AUTUMN CRISP
24A8710666,Agrolatina,1360,02/10/2025,AUTUMN CRISP
24A8717172,Agrolatina,1440,03/04/2025,COTTON CANDY
24A8717172,Agrolatina,160,03/04/2025,COTTON CANDY
24A8723175,Agrolatina,1200,03/10/2025,TIMCO
24A8723175,Agrolatina,320,03/10/2025,TIMCO
24A8723175,Agrolatina,80,03/10/2025,TIMCO
24A8730256,Agrolatina,1040,02/17/2025,SWEET GLOBE
24A8730256,Agrolatina,560,02/17/2025,SWEET GLOBE
24A8730472,Agrolatina,1120,02/05/2025,SWEET GLOBE
24A8730472,Agrolatina,480,02/05/2025,SWEET GLOBE
24A8745820,Agrolatina,960,03/04/2025,SWEET GLOBE
24A8745820,Agrolatina,640,03/04/2025,SWEET GLOBE
24A8753282,Agrolatina,1120,01/03/2025,CANDY SNAP
24A8753282,Agrolatina,480,01/03/2025,CANDY SNAP
24A8779394,Agrolatina,800,01/30/2025,SWEET GLOBE
24A8779394,Agrolatina,800,01/30/2025,SWEET GLOBE
24A8784699,Agrolatina,1600,01/30/2025,SWEET GLOBE
24A8786599,Agrolatina,1280,01/30/2025,SWEET GLOBE
24A8786599,Agrolatina,320,01/30/2025,SWEET GLOBE
24A8815598,Agrolatina,800,03/04/2025,AUTUMN CRISP
24A8815598,Agrolatina,800,03/04/2025,AUTUMN CRISP
24A8817230,Agrolatina,1360,01/10/2025,ALLISON
24A8817230,Agrolatina,240,01/10/2025,ALLISON
24A8822473,Agrolatina,400,02/26/2025,CANDY DREAMS
24A8822473,Agrolatina,1200,02/26/2025,CANDY DREAMS
24A8823546,Agrolatina,720,02/26/2025,SWEET GLOBE
24A8823546,Agrolatina,880,02/26/2025,SWEET GLOBE
24A8825111,Agrolatina,80,01/17/2025,CANDY SNAP
24A8825111,Agrolatina,1520,01/17/2025,CANDY SNAP
24A8825370,Agrolatina,320,02/26/2025,CANDY DREAMS
24A8825370,Agrolatina,1280,02/26/2025,CANDY DREAMS
24A8830442,Agrolatina,1040,03/04/2025,TIMCO
24A8830442,Agrolatina,560,03/04/2025,TIMCO
24A8831140,Agrolatina,1600,01/03/2025,ALLISON
24A8834237,Agrolatina,1200,02/24/2025,TIMCO
24A8834237,Agrolatina,400,02/24/2025,TIMCO
24A8837982,Agrolatina,1120,01/17/2025,CANDY DREAMS
24A8837982,Agrolatina,480,01/17/2025,CANDY DREAMS
24A8840923,Agrolatina,960,03/04/2025,COTTON CANDY
24A8840923,Agrolatina,640,03/04/2025,COTTON CANDY
24A8846752,Agrolatina,960,02/07/2025,SWEET GLOBE
24A8846752,Agrolatina,640,02/07/2025,SWEET GLOBE
24A8846881,Agrolatina,800,01/27/2025,IVORY
24A8846881,Agrolatina,800,01/27/2025,IVORY
24A8849068,Agrolatina,1360,01/17/2025,SWEET GLOBE
24A8849068,Agrolatina,240,01/17/2025,SWEET GLOBE
24A8850665,Agrolatina,1200,02/26/2025,TIMCO
24A8850665,Agrolatina,400,02/26/2025,TIMCO
24A8851933,Agrolatina,1200,01/27/2025,SWEET GLOBE
24A8851933,Agrolatina,400,01/27/2025,SWEET GLOBE
24A8856616,Agrolatina,800,03/04/2025,COTTON CANDY
24A8856616,Agrolatina,800,03/04/2025,COTTON CANDY
24A8860133,Agrolatina,1200,01/17/2025,SWEET GLOBE
24A8860133,Agrolatina,400,01/17/2025,SWEET GLOBE
24A8860600,Agrolatina,1520,01/27/2025,ALLISON
24A8860600,Agrolatina,80,01/27/2025,ALLISON
24A8862028,Agrolatina,1600,01/27/2025,TIMCO
24A8863390,Agrolatina,1600,01/27/2025,SWEET GLOBE
24A8865270,Agrolatina,1120,01/27/2025,SWEET GLOBE
24A8865270,Agrolatina,80,01/27/2025,SWEET GLOBE
24A8865270,Agrolatina,400,01/27/2025,SWEET GLOBE
24A8870791,Agrolatina,1520,01/10/2025,ALLISON
24A8870791,Agrolatina,80,01/10/2025,ALLISON
24A8871360,Agrolatina,1600,01/03/2025,ALLISON
24A8872738,Agrolatina,1280,02/17/2025,IVORY
24A8872738,Agrolatina,320,02/17/2025,IVORY
24A8873547,Agrolatina,1280,01/17/2025,SWEET GLOBE
