Lotid,Chargedescr,Chgamt,Chgqnt,Initial Stock,Cost per Box,Exporter Clean,Exporter Country,Season
0001-0011104,COMMISSION LIQUIDATION ADJUST,3.6,0.0,1800,0.002,ECO,Peru,2023-2024
0001-0011104,CROSS DOCK HANDLING FEES,400.0,0.0,1800,0.2222222222222222,ECO,Peru,2023-2024
0001-0011104,CUSTOMS CHARGE,262.0,0.0,1800,0.14555555555555555,ECO,Peru,2023-2024
0001-0011104,EXPEDITOR,240.0,0.0,1800,0.13333333333333333,ECO,Peru,2023-2024
0001-0011104,FREIGHT FLAT RATE,1500.0,0.0,1800,0.8333333333333334,ECO,Peru,2023-2024
0001-0011104,INSPECTIONS,823.2,1800.0,1800,0.45733333333333337,ECO,Peru,2023-2024
0001-0011104,YARD DRAYAGE FEES,100.0,0.0,1800,0.05555555555555555,ECO,Peru,2023-2024
0001-0011110,CHARGE LIQUIDATION ADJUST,-609.04,0.0,1800,-0.3383555555555555,ECO,Peru,2023-2024
0001-0011110,COMMISSION,2420.0600000000004,121003.58,1800,1.344477777777778,ECO,Peru,2023-2024
0001-0011110,COMMISSION LIQUIDATION ADJUST,-6.9,0.0,1800,-0.0038333333333333336,ECO,Peru,2023-2024
0001-0011110,CROSS DOCK HANDLING FEES,400.0,0.0,1800,0.2222222222222222,ECO,Peru,2023-2024
0001-0011110,CUSTOMS CHARGE,583.25,0.0,1800,0.3240277777777778,ECO,Peru,2023-2024
0001-0011110,EXPEDITOR,240.0,0.0,1800,0.13333333333333333,ECO,Peru,2023-2024
0001-0011110,FREIGHT FLAT RATE,1500.0,0.0,1800,0.8333333333333334,ECO,Peru,2023-2024
0001-0011110,INSPECTIONS,823.2,5400.0,1800,0.45733333333333337,ECO,Peru,2023-2024
0001-0011110,YARD DRAYAGE FEES,100.0,0.0,1800,0.05555555555555555,ECO,Peru,2023-2024
0001-0011130,CHARGE LIQUIDATION ADJUST,68.99,0.0,1800,0.03832777777777777,ECO,Peru,2023-2024
0001-0011130,COLD TREATMENT FEES,237.0,0.0,1800,0.13166666666666665,ECO,Peru,2023-2024
0001-0011130,COMMISSION,2416.3799999999997,120817.08,1800,1.3424333333333331,ECO,Peru,2023-2024
0001-0011130,COMMISSION LIQUIDATION ADJUST,0.04,0.0,1800,2.2222222222222223e-05,ECO,Peru,2023-2024
0001-0011130,CROSS DOCK HANDLING FEES,400.0,0.0,1800,0.2222222222222222,ECO,Peru,2023-2024
0001-0011130,CUSTOMS CHARGE,583.25,0.0,1800,0.3240277777777778,ECO,Peru,2023-2024
0001-0011130,EXPEDITOR,240.0,0.0,1800,0.13333333333333333,ECO,Peru,2023-2024
0001-0011130,FREIGHT FLAT RATE,1500.0,0.0,1800,0.8333333333333334,ECO,Peru,2023-2024
